# Nacc, Ndble, Tau, delT(iChan), ... V(iChan)
81466, 216, 3.553,   0, 0, 3.553,   0, 0, 0.089
81569, 217, 0.554,   0, 0.554, 0,   0, 0.169, 0
81723, 218, 4.352,   0, 0, 4.352,   0, 0, 0.0764
81791, 219, 1.944,   0, 0, 1.944,   0, 0, 0.0717
81858, 220, 2.284,   0, 0, 2.284,   0, 0, 0.125
83554, 221, 0.624,   0, 0, 0.624,   0, 0, 0.181
84025, 222, 2.176,   0, 0, 2.176,   0, 0, 0.147
84211, 223, 4.079,   4.079, 0, 0,   0.129, 0, 0
84368, 224, 0.932,   0, 0.932, 0,   0, 0.107, 0
84493, 225, 0.564,   0.564, 0, 0,   0.333, 0, 0
84594, 226, 3.256,   0, 3.256, 0,   0, 0.334, 0
85044, 227, 2.802,   0, 0, 2.802,   0, 0, 0.163
85285, 228, 4.356,   0, 0, 4.356,   0, 0, 0.0764
85350, 229, 9.883,   9.88, 9.884, 9.884,   0.0804, 0.0959, 0.125
85532, 230, 1.332,   1.332, 0, 0,   0.112, 0, 0
85895, 231, 0.788,   0, 0.788, 0,   0, 0.191, 0
87333, 232, 2.004,   0, 0, 2.004,   0, 0, 0.0749
88092, 233, 0.416,   0, 0.416, 0,   0, 0.226, 0
89622, 234, 2.148,   2.148, 0, 0,   0.12, 0, 0
90059, 235, 0.656,   0, 0.656, 0,   0, 0.212, 0
90482, 236, 0.204,   0, 0.204, 0,   0, 0.141, 0
92319, 237, 0.1987,   0, 0, 0.1987,   0, 0, 0.178
92453, 238, 0.232,   0, 0, 0.232,   0, 0, 0.316
93310, 239, 0.432,   0, 0, 0.432,   0, 0, 0.112
93629, 240, 2.092,   0, 2.092, 2.092,   0, 0.105, 0.127
93913, 241, 10.49,   10.49, 0, 0,   0.0836, 0, 0
94336, 242, 0.588,   0, 0.588, 0,   0, 0.132, 0
95005, 243, 4.204,   0, 0, 4.204,   0, 0, 0.322
95016, 244, 3.392,   0, 0, 3.392,   0, 0, 0.089
95349, 245, 1.636,   0, 1.636, 0,   0, 0.337, 0
95446, 246, 2.264,   0, 0, 2.264,   0, 0, 0.206
95546, 247, 1.152,   0, 0, 1.152,   0, 0, 0.0874
96214, 248, 1.668,   1.668, 0, 0,   0.113, 0, 0
96422, 249, 0.254,   0.254, 0, 0,   0.145, 0, 0
97492, 250, 4.328,   0, 0, 4.328,   0, 0, 0.0749
97767, 251, 1.508,   1.508, 0, 0,   0.0961, 0, 0
98073, 252, 1.258,   1.258, 1.258, 0,   0.101, 0.116, 0
98412, 253, 4.421,   0, 0, 4.421,   0, 0, 0.116
98787, 254, 2.68,   0, 0, 2.68,   0, 0, 0.0937
98852, 255, 4.192,   4.192, 4.192, 0,   0.159, 0.126, 0
99110, 256, 4.406,   4.408, 4.404, 0,   0.118, 0.0912, 0
99741, 257, 0.216,   0, 0.216, 0,   0, 0.285, 0
100260, 258, 1.462,   0, 1.46, 1.464,   0, 0.0818, 0.0952
100325, 259, 5.997,   0, 0, 5.997,   0, 0, 0.169
100395, 260, 0.776,   0.776, 0, 0,   0.135, 0, 0
100838, 261, 1.188,   0, 0, 1.188,   0, 0, 0.0764
100979, 262, 2.016,   0, 0, 2.016,   0, 0, 0.0937
101490, 263, 1.212,   0, 1.212, 0,   0, 0.358, 0
101562, 264, 4.381,   0, 4.381, 4.381,   0, 0.0896, 0.0827
101835, 265, 1.29,   0, 1.29, 0,   0, 0.118, 0
102023, 266, 9.604,   9.604, 0, 0,   0.0883, 0, 0
102270, 267, 0.448,   0, 0, 0.448,   0, 0, 0.111
102401, 268, 0.816,   0, 0, 0.816,   0, 0, 0.0717
103181, 269, 1.04,   0, 1.04, 0,   0, 0.119, 0
103616, 270, 2.377,   2.377, 2.377, 2.377,   0.132, 0.099, 0.0952
103884, 271, 2.844,   0, 0, 2.844,   0, 0, 0.127
104060, 272, 1.206,   1.208, 1.204, 0,   0.113, 0.105, 0
105197, 273, 6.465,   0, 0, 6.465,   0, 0, 0.0733
105263, 274, 0.664,   0.664, 0, 0,   0.0898, 0, 0
106049, 275, 0.572,   0, 0, 0.572,   0, 0, 0.145
106984, 276, 2.5,   0, 0, 2.5,   0, 0, 0.0827
107495, 277, 0.648,   0, 0.648, 0,   0, 0.0975, 0
108072, 278, 0.544,   0, 0, 0.544,   0, 0, 0.13
108448, 279, 0.824,   0.824, 0.824, 0.824,   0.0867, 0.101, 0.128
108658, 280, 1.556,   1.558, 1.554, 0,   0.142, 0.138, 0
108801, 281, 3.744,   0, 3.744, 3.744,   0, 0.0881, 0.194
109074, 282, 4.216,   0, 0, 4.216,   0, 0, 0.272
109162, 283, 3.5,   0, 0, 3.5,   0, 0, 0.119
109543, 284, 0.332,   0, 0.332, 0,   0, 0.358, 0
110035, 285, 0.748,   0, 0, 0.748,   0, 0, 0.253
110285, 286, 3.83,   3.828, 0, 3.832,   0.131, 0, 0.125
110309, 287, 2.112,   0, 0, 2.112,   0, 0, 0.0874
110319, 288, 7.504,   0, 0, 7.504,   0, 0, 0.341
110851, 289, 1.83,   0, 0, 1.83,   0, 0, 0.0843
111194, 290, 0.976,   0, 0.976, 0,   0, 0.099, 0
111342, 291, 7.864,   0, 0, 7.864,   0, 0, 0.139
112185, 292, 0.182,   0, 0.182, 0,   0, 0.358, 0
112752, 293, 0.492,   0.492, 0.492, 0,   0.126, 0.127, 0
113267, 294, 3.613,   0, 3.613, 0,   0, 0.0849, 0
113703, 295, 0.844,   0.844, 0.844, 0,   0.138, 0.0896, 0
113716, 296, 0.908,   0, 0.908, 0,   0, 0.146, 0
113903, 297, 4.748,   4.749, 4.749, 4.745,   0.0804, 0.0709, 0.144
113936, 298, 1.074,   1.076, 1.072, 0,   0.0977, 0.223, 0
113958, 299, 3.34,   0, 3.34, 0,   0, 0.348, 0
114144, 300, 3.927,   0, 0, 3.927,   0, 0, 0.123
114157, 301, 0.434,   0, 0.432, 0.436,   0, 0.099, 0.0874
114418, 302, 1.55,   0, 1.55, 0,   0, 0.218, 0
